Age,S,Gender,Ca,Mg,Zn,Cu
3,38000,M,250,25,80,31.22222222
7,37500,M,300,30,100,31.22222222
12,40200,M,400,40,130,35
20,40300,M,600,60,145,37
25,39800,M,650,65,155,32
35,41200,M,700,70,150,25
45,38000,M,650,65,155,35
55,38000,M,700,70,170,28
60,39800,M,750,75,160,25
65,40000,M,600,60,150,22
70,39200,M,800,80,155,20
75,39000,M,700,70,150,18
80,38800,M,400,40,145,15
5,39200,F,500,50,90,28
8,38800,F,550,55,120,20
10,39500,F,816.578947,80.868421,135,35
15,39200,F,800,80,145,40
18,38500,F,950,95,155,47
22,38000,F,1100,110,170,38
25,37500,F,1250,115,160,30
30,38200,F,1000,100,150,25
35,38000,F,1150,115,155,35
40,40000,F,1100,110,165,40
45,37200,F,1200,120,150,38
50,38000,F,980,98,145,42
55,37500,F,1250,125,150,37
65,38200,F,1200,120,155,50
70,37800,F,1350,125,150,42
75,38000,F,1250,115,145,38
80,37500,F,1000,100,100,35
85,35500,F,1150,115,110,30
2,38593.55,F,450,45,70,31.22222222
60,38593.55,F,1300,130,140,45
90,38593.55,F,1200,120,125,25
30,38593.55,M,550,55,160,28
40,38593.55,M,600,60,165,30
50,38593.55,M,500,50,145,32
85,38593.55,M,500,50,155,12
90,38593.55,M,650,65,160,10
2,39800,M,240,24,75,32.5
4,39500,M,260,26,82,31.8
6,39200,M,285,28.5,95,31.2
8,38900,M,320,32,105,30.8
11,40100,M,380,38,125,34.5
14,40250,M,450,45,135,35.8
16,40300,M,520,52,140,36.2
19,40200,M,580,58,142,36.5
23,39900,M,630,63,150,33
27,39850,M,660,66,153,31.5
31,41000,M,685,68.5,152,28
34,41100,M,695,69.5,151,26.5
38,38200,M,660,66,156,33.5
42,38100,M,655,65.5,158,32
47,38000,M,665,66.5,162,30.5
51,38900,M,680,68,165,27.5
54,39700,M,710,71,168,26
57,39800,M,730,73,165,25.5
61,39900,M,745,74.5,158,24
64,39950,M,680,68,155,22.5
67,39400,M,750,75,153,21
71,39100,M,720,72,152,19.5
74,38900,M,650,65,148,17
77,38800,M,550,55,146,16
81,38700,M,450,45,143,14.5
3,39100,F,470,47,85,29
6,38900,F,510,51,95,27.5
9,38800,F,620,62,110,25
12,38700,F,750,75,125,35
15,38600,F,780,78,140,38.5
17,38500,F,850,85,148,42
21,38300,F,980,98,158,45
24,38000,F,1050,105,162,41
28,37500,F,980,98,160,35
32,37000,F,1120,112,159,33.5
36,36900,F,1140,114,157,32
39,36800,F,1190,119,156,30
43,36700,F,1230,123,152,28.5
48,36600,F,1180,118,150,27
52,36500,F,1250,125,148,25
56,36400,F,1320,132,145,24.5
59,36300,F,1380,138,143,22
63,36200,F,1410,141,140,20.5
66,36100,F,1450,145,135,18.5
69,36000,F,1500,150,130,17
73,35900,F,1430,143,120,15
76,35800,F,1400,140,110,14
79,35700,F,1300,130,105,13
3,38000,M,250,25,80,31.22
7,37500,M,300,30,100,31.22
12,40200,M,400,40,130,35
20,40300,M,600,60,145,37
25,39800,M,650,65,155,32
35,41200,M,700,70,150,25
45,38000,M,650,65,155,35
55,38000,M,700,70,170,28
60,39800,M,750,75,160,25
65,40000,M,600,60,150,22
70,39200,M,800,80,155,20
75,39000,M,700,70,150,18
80,38800,M,400,40,145,15
5,39200,F,500,50,90,28
8,38800,F,550,55,120,20
10,39500,F,816.58,80.87,135,35
15,39200,F,800,80,145,40
18,38500,F,950,95,155,47
22,38000,F,1100,110,170,38
25,37500,F,1250,115,160,30
30,38200,F,1000,100,150,25
35,38000,F,1150,115,155,35
40,40000,F,1100,110,165,40
45,37200,F,1200,120,150,38
50,38000,F,980,98,145,42
55,37500,F,1250,125,150,37
65,38200,F,1200,120,155,50
70,37800,F,1350,125,150,42
75,38000,F,1250,115,145,38
80,37500,F,1000,100,100,35
85,35500,F,1150,115,110,30
2,38593.55,F,450,45,70,31.22
60,38593.55,F,1300,130,140,45
90,38593.55,F,1200,120,125,25
30,38593.55,M,550,55,160,28
40,38593.55,M,600,60,165,30
50,38593.55,M,500,50,145,32
85,38593.55,M,500,50,155,12
90,38593.55,M,650,65,160,10
2,39800,M,240,24,75,32.5
4,39500,M,260,26,82,31.8
6,39200,M,285,28.5,95,31.2
8,38900,M,320,32,105,30.8
11,40100,M,380,38,125,34.5
14,40250,M,450,45,135,35.8
16,40300,M,520,52,140,36.2
19,40200,M,580,58,142,36.5
23,39900,M,630,63,150,33
27,39850,M,660,66,153,31.5
31,41000,M,685,68.5,152,28
34,41100,M,695,69.5,151,26.5
38,38200,M,660,66,156,33.5
42,38100,M,655,65.5,158,32
47,38000,M,665,66.5,162,30.5
51,38900,M,680,68,165,27.5
54,39700,M,710,71,168,26
57,39800,M,730,73,165,25.5
61,39900,M,745,74.5,158,24
64,39950,M,680,68,155,22.5
67,39400,M,750,75,153,21
71,39100,M,720,72,152,19.5
74,38900,M,650,65,148,17
77,38800,M,550,55,146,16
81,38700,M,450,45,143,14.5
3,39100,F,470,47,85,29
6,38900,F,510,51,95,27.5
9,38800,F,620,62,110,25
12,38700,F,750,75,125,35
15,38600,F,780,78,140,38.5
17,38500,F,850,85,148,42
21,38300,F,980,98,158,45
24,38000,F,1050,105,162,41
28,37500,F,980,98,160,35
32,37000,F,1120,112,159,33.5
36,36900,F,1140,114,157,32
39,36800,F,1190,119,156,30
43,36700,F,1230,123,152,28.5
48,36600,F,1180,118,150,27
52,36500,F,1250,125,148,25
56,36400,F,1320,132,145,24.5
59,36300,F,1380,138,143,22
63,36200,F,1410,141,140,20.5
66,36100,F,1450,145,135,18.5
69,36000,F,1500,150,130,17
73,35900,F,1430,143,120,15
76,35800,F,1400,140,110,14
79,35700,F,1300,130,105,13
5,38500,M,270,27,85,33
10,39000,M,320,32,95,30
15,40000,M,370,37,105,28
20,41000,M,420,42,115,35
25,42000,M,470,47,125,33
30,43000,M,520,52,135,31
35,44000,M,570,57,145,29
40,45000,M,620,62,155,26
45,46000,M,670,67,165,24
50,47000,M,720,72,175,22
55,48000,M,770,77,185,20
60,49000,M,820,82,195,18
65,50000,M,870,87,205,16
70,51000,M,920,92,215,14
75,52000,M,970,97,225,12
5,38500,F,520,52,110,31
10,39000,F,570,57,120,29
15,40000,F,620,62,130,27
20,41000,F,670,67,140,25
25,42000,F,720,72,150,23
30,43000,F,770,77,160,21
35,44000,F,820,82,170,19
40,45000,F,870,87,180,17
45,46000,F,920,92,190,15
50,47000,F,970,97,200,13
55,48000,F,1020,102,210,12
60,49000,F,1070,107,220,11
65,50000,F,1120,112,230,10
70,51000,F,1170,117,240,9
75,52000,F,1220,122,250,8
80,53000,F,1270,127,260,7
85,54000,F,1320,132,270,6
